id,value
STRATEGIES,
STRATEGIES.AdaptiveEducationalSystem(AES),
STRATEGIES.AdaptiveEducationalSystem(AES).10*1007/378-3-313-31743-5*25,1
STRATEGIES.AdaptiveEducationalSystem(AES).10*1007/978-3-319-91743-6*26,1
STRATEGIES.AdaptiveEducationalSystem(AES).10*1007/s40593-016-0107-y,1
STRATEGIES.AdaptiveEducationalSystem(AES).10*1016/J*CHB*2013*04*030,1
STRATEGIES.AdaptiveEducationalSystem(AES).10*1016/j*procs*2014*12*021,1
STRATEGIES.AdaptiveEducationalSystem(AES).10*1075/csed*12*3*137*8518,1
STRATEGIES.AdaptiveEducationalSystem(AES).10*1109/TLT*2009*50,1
STRATEGIES.AdaptiveEducationalSystem(AES).10*1109/TLT*2010*28,1
STRATEGIES.AdaptiveEducationalSystem(AES).10*1109/TLT*2011*2,1
STRATEGIES.AdaptiveEducationalSystem(AES).10*1145/1160633*1160933,1
STRATEGIES.AdaptiveEducationalSystem(AES).10*1145/2408776*2408787,1
STRATEGIES.AdaptiveEducationalSystem(AES).10*1145/2526968*2526987,1
STRATEGIES.AdaptiveEducationalSystem(AES).10*1145/2839509*2844615,1
STRATEGIES.AdaptiveEducationalSystem(AES).10*1145/3159450*3159518,1
STRATEGIES.AdaptiveEducationalSystem(AES).10*1203/FIE*2005*322313,1
STRATEGIES.AdaptiveEducationalSystem(AES).10*1203/FIE*2005*322313,1
STRATEGIES.AdaptiveEducationalSystem(AES).10*1203/FIE*2007*4418035,1
STRATEGIES.AdaptiveEducationalSystem(AES).10*1203/FIE*2007*4418035,1
STRATEGIES.AdaptiveEducationalSystem(AES).10*1203/ICALT*2003*1215128,1
STRATEGIES.AdaptiveEducationalSystem(AES).10*1203/ICALT*2003*1215128,1
STRATEGIES.AdaptiveEducationalSystem(AES).10*1203/SII*2015*8273283,1
STRATEGIES.AdaptiveEducationalSystem(AES).10*1203/TLT*2003*50,1
STRATEGIES.AdaptiveEducationalSystem(AES).10*1203/TLT*2010*28,1
STRATEGIES.AdaptiveEducationalSystem(AES).10*1245/2787522*2787713,1
STRATEGIES.AdaptiveEducationalSystem(AES).10*1245/2787522*2787731,1
STRATEGIES.AdaptiveEducationalSystem(AES).10*3217/jucs-011-09-1505,1
STRATEGIES.AdaptiveEducationalSystem(AES).10*4018/jec*2012100101,1
STRATEGIES.AdaptiveEducationalSystem(AES).isbn=1505-1517,1
